no,Country,Population,Yearly Change,Net Change,Density  (P/Km²),Land Area (Km²),Net Migration,Fert. Rate,Med. Age,Urban Pop %,World Share
170,Western Sahara,597339.0,2.55,14876.0,2.0,266000.0,5582.0,2.4,28,87.0,0.01
171,Suriname,586632.0,0.9,5260.0,4.0,156000.0,-1000.0,2.4,29,65.0,0.01
172,Cabo Verde,555987.0,1.1,6052.0,138.0,4030.0,-1342.0,2.3,28,68.0,0.01
173,Micronesia,548914.0,1.0,5428.0,784.0,700.0,-2957.0,2.9,27,68.0,0.01
174,Maldives,540544.0,1.81,9591.0,1802.0,300.0,11370.0,1.9,30,35.0,0.01
175,Malta,441543.0,0.27,1171.0,1380.0,320.0,900.0,1.5,43,93.0,0.01
176,Brunei,437479.0,0.97,4194.0,83.0,5270.0,0.0,1.8,32,80.0,0.01
177,Guadeloupe,400124.0,0.02,68.0,237.0,1690.0,-1440.0,2.2,44,,0.01
178,Belize,397628.0,1.86,7275.0,17.0,22810.0,1200.0,2.3,25,46.0,0.01
179,Bahamas,393244.0,0.97,3762.0,39.0,10010.0,1000.0,1.8,32,86.0,0.01
180,Martinique,375265.0,-0.08,-289.0,354.0,1060.0,-960.0,1.9,47,92.0,0.0
181,Iceland,341243.0,0.65,2212.0,3.0,100250.0,380.0,1.8,37,94.0,0.0
182,Vanuatu,307145.0,2.42,7263.0,25.0,12190.0,120.0,3.8,21,24.0,0.0
183,French Guiana,298682.0,2.7,7850.0,4.0,82200.0,1200.0,3.4,25,87.0,0.0
184,Barbados,287375.0,0.12,350.0,668.0,430.0,-79.0,1.6,40,31.0,0.0
185,New Caledonia,285498.0,0.97,2748.0,16.0,18280.0,502.0,2,34,72.0,0.0
186,French Polynesia,280908.0,0.58,1621.0,77.0,3660.0,-1000.0,2,34,64.0,0.0
187,Mayotte,272815.0,2.5,6665.0,728.0,375.0,0.0,3.7,20,46.0,0.0
188,Sao Tome & Principe,219159.0,1.91,4103.0,228.0,960.0,-1680.0,4.4,19,74.0,0.0
189,Samoa,198414.0,0.67,1317.0,70.0,2830.0,-2803.0,3.9,22,18.0,0.0
190,Saint Lucia,183627.0,0.46,837.0,301.0,610.0,0.0,1.4,34,19.0,0.0
191,Channel Islands,173863.0,0.93,1604.0,915.0,190.0,1351.0,1.5,43,30.0,0.0
192,Guam,168775.0,0.89,1481.0,313.0,540.0,-506.0,2.3,31,95.0,0.0
193,Curaçao,164093.0,0.41,669.0,370.0,444.0,515.0,1.8,42,89.0,0.0
194,Kiribati,119449.0,1.57,1843.0,147.0,810.0,-800.0,3.6,23,57.0,0.0
195,Grenada,112523.0,0.46,520.0,331.0,340.0,-200.0,2.1,32,35.0,0.0
196,St. Vincent & Grenadines,110940.0,0.32,351.0,284.0,390.0,-200.0,1.9,33,53.0,0.0
197,Aruba,106766.0,0.43,452.0,593.0,180.0,201.0,1.9,41,44.0,0.0
198,Tonga,105695.0,1.15,1201.0,147.0,720.0,-800.0,3.6,22,24.0,0.0
199,U.S. Virgin Islands,104425.0,-0.15,-153.0,298.0,350.0,-451.0,2,43,96.0,0.0
200,Seychelles,98347.0,0.62,608.0,214.0,460.0,-200.0,2.5,34,56.0,0.0
201,Antigua and Barbuda,97929.0,0.84,811.0,223.0,440.0,0.0,2,34,26.0,0.0
202,Isle of Man,85033.0,0.53,449.0,149.0,570.0,,,,53.0,0.0
203,Andorra,77265.0,0.16,123.0,164.0,470.0,,,,88.0,0.0
204,Dominica,71986.0,0.25,178.0,96.0,750.0,,,,74.0,0.0
205,Cayman Islands,65722.0,1.19,774.0,274.0,240.0,,,,97.0,0.0
206,Bermuda,62278.0,-0.36,-228.0,1246.0,50.0,,,,97.0,0.0
207,Marshall Islands,59190.0,0.68,399.0,329.0,180.0,,,,70.0,0.0
208,Northern Mariana Islands,57559.0,0.6,343.0,125.0,460.0,,,,88.0,0.0
209,Greenland,56770.0,0.17,98.0,0.0,410450.0,,,,87.0,0.0
210,American Samoa,55191.0,-0.22,-121.0,276.0,200.0,,,,88.0,0.0
211,Saint Kitts & Nevis,53199.0,0.71,376.0,205.0,260.0,,,,33.0,0.0
212,Faeroe Islands,48863.0,0.38,185.0,35.0,1396.0,,,,43.0,0.0
213,Sint Maarten,42876.0,1.15,488.0,1261.0,34.0,,,,96.0,0.0
214,Monaco,39242.0,0.71,278.0,26337.0,1.0,,,,,0.0
215,Turks and Caicos,38717.0,1.38,526.0,41.0,950.0,,,,89.0,0.0
216,Saint Martin,38666.0,1.75,664.0,730.0,53.0,,,,0.0,0.0
217,Liechtenstein,38128.0,0.29,109.0,238.0,160.0,,,,15.0,0.0
218,San Marino,33931.0,0.21,71.0,566.0,60.0,,,,97.0,0.0
219,Gibraltar,33691.0,-0.03,-10.0,3369.0,10.0,,,,,0.0
220,British Virgin Islands,30231.0,0.67,201.0,202.0,150.0,,,,52.0,0.0
221,Caribbean Netherlands,26223.0,0.94,244.0,80.0,328.0,,,,75.0,0.0
222,Palau,18094.0,0.48,86.0,39.0,460.0,,,,,0.0
223,Cook Islands,17564.0,0.09,16.0,73.0,240.0,,,,75.0,0.0
224,Anguilla,15003.0,0.9,134.0,167.0,90.0,,,,,0.0
225,Tuvalu,11792.0,1.25,146.0,393.0,30.0,,,,62.0,0.0
226,Wallis & Futuna,11239.0,-1.69,-193.0,80.0,140.0,,,,0.0,0.0
227,Nauru,10824.0,0.63,68.0,541.0,20.0,,,,,0.0
228,Saint Barthelemy,9877.0,0.3,30.0,470.0,21.0,,,,0.0,0.0
229,Saint Helena,6077.0,0.3,18.0,16.0,390.0,,,,27.0,0.0
230,Saint Pierre & Miquelon,5794.0,-0.48,-28.0,25.0,230.0,,,,100.0,0.0
231,Montserrat,4992.0,0.06,3.0,50.0,100.0,,,,10.0,0.0
232,Falkland Islands,3480.0,3.05,103.0,0.0,12170.0,,,,66.0,0.0
233,Niue,1626.0,0.68,11.0,6.0,260.0,,,,46.0,0.0
234,Tokelau,1357.0,1.27,17.0,136.0,10.0,,,,0.0,0.0
235,Holy See,801.0,0.25,2.0,2003.0,0.0,,,,,0.0
